GSS_CODE;NAME;y;E;x1
E09000001;City of London;4;1.5;12.84
E09000002;Barking and Dagenham;34;37.5;34.49
E09000003;Barnet;68;71.6;21.16
E09000004;Bexley;57;46.6;16.21
E09000005;Brent;64;62.5;29.22
E09000006;Bromley;72;62.2;14.36
E09000007;Camden;53;44.1;28.62
E09000008;Croydon;83;73.1;21.31
E09000009;Ealing;48;68;25.1
E09000010;Enfield;50;62.9;26.19
E09000011;Greenwich;35;51.2;33.94
E09000012;Hackney;51;49.5;46.1
E09000013;Hammersmith and Fulham;42;36.5;28.07
E09000014;Haringey;74;51.2;35.73
E09000015;Harrow;33;48.2;15.59
E09000016;Havering;46;47.6;16.07
E09000017;Hillingdon;50;55.2;18.56
E09000018;Hounslow;37;51.1;23.2
E09000019;Islington;55;41.3;38.96
E09000020;Kensington and Chelsea;37;31.7;23.51
E09000021;Kingston upon Thames;21;32.1;13.1
E09000022;Lambeth;56;61;34.94
E09000023;Lewisham;60;55.5;31.04
E09000024;Merton;42;40.2;14.62
E09000025;Newham;60;62.2;42.95
E09000026;Redbridge;44;56.4;20.36
E09000027;Richmond upon Thames;24;37.6;9.55
E09000028;Southwark;69;57.8;33.33
E09000029;Sutton;39;38.3;13.98
E09000030;Tower Hamlets;67;51.3;44.64
E09000031;Waltham Forest;55;52;33.19
E09000032;Wandsworth;59;61.6;20.34
E09000033;Westminster;54;44;26.3
